Unnamed: 0,MB,glutamate,pyruvate,alanine,acetate,succinate,asparagine,leucine,glcnac,no
1A01,9.853842991701352,5.137279150071171,4.098356551120042,,,6.003415667131631,,,6.297375451826177,
3B05,,2.089840877302267,3.843100844054249,4.450952324881509,4.404134741544241,6.104930227481364,3.886650357708256,,,
3C02,11.430406006074218,6.732640736893692,5.691712257744603,,,6.673432078847391,,,7.853228485229442,
3D04,7.534264142702066,1.4721293601083496,2.0406343882616933,,3.386635215567021,,,,,
3D05,10.046784247800916,,3.442136631375476,,,5.035535705416439,,,4.394298659275869,
3F01,12.078192320258864,,2.533472319474716,,3.4421366313754773,4.731302479530932,,,4.976875527783393,
4A10,,6.0201015760492345,4.192093404170602,,5.079257814623631,5.176489091425223,,,,
4B03,7.835989100019052,,4.8284863895750805,4.925724587706138,3.663581125174399,,,,,
4B04,8.658771819894417,6.903884433505928,5.500286119952657,,,5.112814788736272,,,7.334927333798744,
4D01,9.45160395807134,,5.791076321829057,,,,,,7.818765844779768,
4D10,,,,7.658201243910507,,4.363460557074453,,,,
4E07,5.137552186616436,2.416922447075238,7.287981348523626,,2.394977252156988,,,15.60042738206767,,
4F10,4.484062046430607,3.4248353104898266,2.046903388937623,2.594315463208123,2.987679041207901,4.162118966629024,2.238784491247696,,,
4G03,12.147956512491042,6.361507908115725,4.306277062823073,,,5.810413558098191,,,7.655942007557974,
4G09,9.169938216305612,,,,,,,,,
4H09,,2.232642329247452,3.4918765415441126,4.957429909481131,4.669949584863216,5.649325638738466,3.5320516238658937,,,
5C01,5.119728593011915,3.4037016748063875,,,2.3496135107160927,,,,,
5D01,4.332571888759729,3.267766136240533,,7.852687655249078,3.410433061996954,4.272991921825287,2.264063588056369,,,
5F01,4.247707706285932,2.776250479195536,,4.172246684377755,3.30968673001082,4.044615843719264,1.903155745909158,,,
5F06,,2.2539095331559054,5.40497247988418,,,,,,,
5G01,,2.101143470982356,9.157893598330023,6.484437052027095,4.899279056594367,5.9701311292153525,3.821846488734773,,,
6C01,6.715626785468728,1.7500336275085708,2.132287873368051,,3.557771264717512,,,,,
6D02,,,,,,,,,,
6D03,8.759441876423967,5.872108978441479,4.747139212472708,5.41332042216658,,4.727401018009382,23.872959890459104,21.07010356640465,8.001140240779852,
6E01,7.535095905995759,5.69469994517847,5.551037264409495,2.8269656356966624,,3.024276538991519,2.0626264028582977,,5.96689374098687,
6E02,9.513385648380329,5.704465859295111,4.194673802318253,,,4.983563146446693,,,5.747273405480336,
6E03,8.601284612169,5.33434062901025,,2.0732761062689304,,3.8883566904283615,,,4.104075300494193,
6G02,,,,,,,,,,
A1R05,,,,,,,,,,
A1R06,14.329532103877488,4.4106809676684735,5.843926900469293,,,3.998760534897186,,,,
A1R11,14.440542267917282,7.172373951929231,6.349453864580912,,,5.838767139851803,,,,
A2R01,7.327499953894418,3.818521137691878,4.387093059835028,4.211676822476092,,4.696462516618369,4.594899086529293,,,
A2R07,4.567736910919422,2.984166835164232,4.09976022804421,2.754529210515676,3.994349190446589,3.460821458869013,3.3162932925472663,,,
A2R16,,3.2187778809992684,3.9066060049521703,5.183788483284126,4.751939862882982,5.52016017519552,3.9734934231896224,,,
A3M17,4.872227927361971,,2.700709606078316,2.258133782910273,,2.588017078643826,,,,
A3R04,6.620050269450171,,,,,,,,,
A3R06,,2.8683410051044373,2.1577876567994645,1.993637719714603,2.8045701835895844,3.339771703626078,,2.252392510042401,5.122035577031585,
B1R08,5.617686755146985,3.972472635958117,4.387764452004593,4.586088807453084,,4.210594457837684,3.078081298242828,,,
B1R10,6.722531955392195,,,,,,,,,
B1R15,7.149616690421455,,,,,,,,,
B2M13,7.90287457515612,6.151335271266697,4.873514385319766,4.797574340504274,,5.239798927696296,4.375310754601585,,,
B2M14,,,,7.231000046125462,,7.661558131436414,,,,
B2R04,5.522997912436859,2.7300067241711585,3.174447746994413,3.2190259348604573,,3.4784896834633097,,1.999102817472479,6.516610880180917,
B2R09,4.480332043330035,,,,,,,,,
B2R22,,,,,,,,,,
B3M03,,2.5003310630594378,3.9512554048600994,,,3.5299898954106497,,,,
B3M18,,3.5495731214050177,,,,3.660263482725791,,,,
B3R09,,5.094368874261298,4.129286076340334,4.222006055950828,,,2.937992623844885,3.811000042789941,,
B3R10,5.952108133198607,,,,,,,,9.97153689324847,
B3R15,6.642214312338572,,,,,,,,11.412386528927316,
C1R08,,,,,,,,,,
C2M04,,,,,,,,,11.128006334352484,
C2M19,8.42742521557268,,4.0740517755417,,,4.267393706095708,,,3.9674700054703984,
C2R07,9.698198166063827,,3.90219958495992,7.919816260675013,,4.161756445328456,,,8.909989256447094,
C2R09,,2.73291505846667,3.1687368764753736,2.585627354827336,,,,,,
C2R11,,,,,,,,,,
C2R13,8.805908872640336,3.361549340294172,3.662119751876256,,,,4.408806137078726,,,
C2R21,13.452287776704477,3.5385521291097817,5.28339771827623,,,4.970280783563453,,,,
C3M06,,,3.345133016834142,,4.5350354708529945,3.483645228703583,,,,
C3M08,10.829851122244476,4.097758453278181,5.40502966133446,,3.8320713436631553,4.381886934180661,,,,
C3M10,15.597173491949128,4.710041905761691,4.680382655733252,,2.454286688149587,4.03234009833109,,,,
C3R10,,,,,,,,,,
C3R12,8.413138915943154,3.839395230938516,,,,4.205976470753147,,,5.824543845069999,
D2M19,,,3.821580308855799,,,,,,,
D2R04,,5.302193265818736,3.637899493666248,3.953920531557161,3.8985151169980017,4.89338666103844,,,,
D2R18,,,,,,2.131162391545069,,,,
D2R19,,,,,,,,,,
D3M06,,,,,,,,,,
D3R02,8.510247975098581,,,,,,,,,
E2M05,,,,,,,,,,
E2M18,9.649120509802156,2.957381624034669,5.61358387049608,,,6.395745598830433,3.6792406468945633,,6.339868319174298,
E2R12,,,,,,,,,,
E3M02,,1.988086821232804,3.1259390711445296,,2.7486788529895625,3.5341391516778504,,,,
F1R01,7.936730008042451,,,,,,,,,
F1R02,9.897845704185116,,4.21208158459874,,,5.135358598069892,,,5.271176253308956,
F1R06,10.265970887549155,4.95093348495178,5.7108534003948135,,4.879990180335589,7.113974244562506,,,,
F2M12,,,,,,,,,,
F2R05,4.889503545161712,2.911021052794947,2.7909195888889764,3.020714854269785,3.7830469410850016,4.067738311462759,2.6065301176975124,,,
F2R10,,5.179389080323314,,7.699974278491988,,5.4666403550826645,,,,
F2R13,4.52620485693365,3.181067167156507,2.00777354083521,2.410708828840016,3.769713581328831,4.415835037924112,1.865104446148246,,,
F2R14,,4.864760972829114,4.04032739029356,3.179511306006249,3.612213025209084,4.9245841881946015,,,,
F2R15,12.10566032362352,5.838903243764513,6.265488586712454,,,6.186110804669946,,,8.344492201182657,
F3M06,10.59515633176786,,3.1690054543324804,,3.899101172781135,,,,,
F3M07,8.41167828390099,,,,,,,,,
F3M13,8.630548423505665,3.635146118554743,4.615678398861846,,4.29132627991946,,,,,
G1M02,,,1.7540643022465543,,,,,,6.403997903880253,
G1M14,7.35235287707365,,3.472473590217619,3.054739793050191,,2.783868925957432,,,4.753793865216323,
G1M15,9.766351995836224,2.569530189823644,3.2662523874110585,,,4.476219764948938,,,5.318105599905108,
G2M01,6.205120728242872,,4.185586438253854,,,,,,4.90001405092058,
G2M05,11.559345621256451,2.577847245611408,,,,3.544184289479,,,9.603897561909104,
G2M07,,,,,,,,,,
G2R07,5.885909774045248,,,,,,,,,
G2R13,4.706773246688622,3.5661623745598923,3.564382459282087,2.746475068668979,3.7008203667110378,4.325701598595696,2.210730333945319,,,
G2R14,4.720736331843083,3.55901965507871,2.6588425147335077,3.118121373105541,3.494947209320124,5.223495813057551,3.970101152720196,,,
G3M07,11.60191209251296,,4.3318468384094,3.836569873108808,5.586919697353963,8.523957536762929,,,6.873962215241786,
G3M13,5.612123750826436,,4.2240371866226765,2.55239989756428,3.9273822515588472,,,,8.225310161830143,
