,pyruvate,alanine,acetate,succinate,asparagine,leucine,glcnac,no
1A01,4.748863404993995,,,2.91969589658371,,,12.910174665360714,
3B05,4.7734538909248725,5.9175324707007215,,10.852526685180704,10.783536757391815,,,
3C02,,,,,,,6.249119732110596,
3D04,2.3413079807780326,1.4517751638455225,5.082737374747028,,,,,
3D05,1.8344489901743273,,,4.483959082774875,,,,
3F01,,,1.9090859368813613,4.881832249509997,,,7.341117487436122,
4A10,,,,,,,,
4B03,2.8771088177982302,3.5722254451682263,,,,,,
4B04,6.0028659938655204,,,2.8854303872068177,,,7.2494043485425905,
4D01,2.656730532479971,,,,,,7.114834128529106,
4D10,,4.614729856285701,,2.793784222647561,,,,
4E07,,,2.4822860901839348,,,,,
4F10,2.688479456663135,4.056388694615403,3.9483649845580935,5.051078727380135,3.7123462716497273,4.725639039141283,,
4G03,,,,,,,3.418878218230652,
4G09,,,2.4257470261473815,,,,3.0355064138149217,
4H09,4.155402824927983,8.261762384444575,5.674764780361845,9.378289081834234,11.475367264313936,,,
5C01,,,,,,,,
5D01,,4.480415943079658,2.6503989711246154,4.625506078532171,4.376554264798377,6.758712378525906,,
5F01,3.351801698391828,5.030520760823413,4.590618296969198,6.178241954338686,4.686366208867475,6.7350785342404365,,
5F06,4.056388694615403,4.616960956108605,3.7239393872297684,4.177283441214886,,,,
5G01,5.183921592402112,7.318361190394073,5.389243209489328,8.545282436427218,10.47234737142085,,,
6C01,3.8259614650697786,1.9635252689840692,5.901476252669554,,,,,
6D02,,,,,,,,
6D03,7.079914441106982,5.553580917002556,2.7124897489494595,7.81348817353072,3.6706309743414365,,13.190833891357629,
6E01,5.882696276199178,3.9911306577298356,3.7379307647815083,4.507314413735374,6.294212019165533,,10.894826767022913,
6E02,5.046386238825014,,,,,,8.018009470827357,
6E03,,,,2.865088329474855,,,,
6G02,,,,,,,,
A1R05,,,,,,,,
A1R06,3.7033989785261565,,,6.733444382581482,,,,
A1R11,5.03696910908243,,,6.447515441338492,,,,
A2R01,5.532778711387305,,,,,,,
A2R07,2.7619481043721414,4.676012417317846,3.642392467526128,5.78036760600235,3.9869823625153615,6.0064086574072135,,
A2R16,4.7495240852368275,7.017314424961981,5.5518219722953965,8.954541119880266,10.505173991874958,,,
A3M17,5.019606463822004,2.7742903736701243,,4.495941143197782,,,,
A3R04,2.6103529985160545,,4.396092973668018,,,,5.010881847669026,
A3R06,4.613059723953968,5.21467836278736,2.409807912162406,4.5305997318927504,,6.927494340074782,3.5749795175786483,
B1R08,6.537861494730437,,,,7.85206976967727,,,
B1R10,,,,,,,,
B1R15,,,,,,,,
B2M13,6.263789382056978,5.450292491635009,4.540554301110808,6.022915532026081,10.596022474575653,,,
B2M14,,0.5516509480230353,,1.851942986535488,,,,
B2R04,5.974710132143488,5.792951117300162,3.8253098041758715,7.3481980900908,4.109379871139608,8.293340974175553,5.321534563582943,
B2R09,,,6.936552298427628,,,,,
B2R22,,,,,,,,
B3M03,3.4143571914335715,3.2554192596619926,2.750489681613411,5.487823210870323,,,,
B3M18,3.167290761658294,4.1239732249616035,3.6658292079389465,5.624361989584321,,,,
B3R09,4.08664258874853,4.154933105621826,3.3695063117740807,2.548310619427303,4.2545812906344755,4.880739614872391,,
B3R10,,,,,,,,
B3R15,,,,,,,,
C1R08,,,,4.393241946660642,,,,
C2M04,,,,,,,,
C2M19,2.44296385343264,3.5238700046661497,,4.897881729965272,,,4.760322913593432,
C2R07,,,,0.832044982031061,,,,
C2R09,4.504532412086207,3.720536452504817,4.0665598848263995,3.041230616479008,,,,
C2R11,,,,,,,,
C2R13,5.817942387631702,,,,5.798890121585933,,,
C2R21,4.1145909671184855,,3.372791274634733,5.112280483426939,,,,
C3M06,2.5179243151582473,,3.323498823094996,5.11075976479082,,,,
C3M08,6.699456922001704,,4.45055458694338,8.37125830934281,,,,
C3M10,5.101698605289667,,3.5227336894739016,6.863777792822006,,,,
C3R10,,,,,,,,
C3R12,,,,,,,3.9097413822474096,
D2M19,5.816422852716827,3.72203396503405,,4.9556837965810825,,,,
D2R04,4.990251704267403,4.413560808852768,6.116390671045849,9.346202219154666,,,,
D2R18,3.403793595368103,,,4.033830238465259,,,,
D2R19,3.280490111624768,,,4.861593148609262,,,,
D3M06,2.9415530660658114,4.258423092145422,,,,,,
D3R02,,,,,,,,
E2M05,,,,,,,,
E2M18,9.337584401170298,2.9278498035514504,2.9249394742281223,8.108773303503762,7.8204267637946625,,10.479178226599586,
E2R12,,,,,,,,
E3M02,3.470959614032772,,3.9058616627102793,7.690441255017102,,,,
F1R01,,,,,,,,
F1R02,3.0150118247988775,,,,,,,
F1R06,6.007656086580856,3.5447437538747932,6.04120904774432,11.364360478294277,,,,
F2M12,,,,,,,,
F2R05,3.8283321327061195,4.3573434178937855,7.552010014348763,9.120909850725514,6.586664816954131,6.074670776123562,,
F2R10,,,,,,,,
F2R13,3.974008664541954,3.6084695524477763,6.840765067617112,7.660201008958217,4.442593910955996,8.277706632468096,,
F2R14,4.612878859504092,3.5818745003425922,4.7648435448499695,6.127679688560996,,,,
F2R15,5.300516685743304,,,5.1354553568497865,,,14.423658813376926,
F3M06,4.075948995841261,2.328961129499493,6.327123684831813,,,,,
F3M07,,,,,,,,
F3M13,8.327136733053987,2.9840502249892245,6.721216058594788,,,,,
G1M02,,,,,,,8.851692511701886,
G1M14,1.8269379598884465,,,3.870856274929742,,,,
G1M15,3.990899287089078,,,,,,7.205948078516653,
G2M01,,,,4.105340085736281,,,,
G2M05,2.4551812458699036,,,,,,6.432362786707875,
G2M07,3.9703749263429957,,,,,,,
G2R07,,,,,,,,
G2R13,2.7916855898628015,3.9380574865042677,4.578636713349678,7.312601880844574,3.8048619898781326,3.63815420940149,,
G2R14,3.1249794448218147,4.1034572015698085,4.983537420253741,5.675518193230554,5.701012116218771,,,
G3M07,2.484709369645575,,3.9075772437123053,4.051201473457404,,,6.406940400854748,
G3M13,5.079696568487686,4.304329178570979,5.662221445797301,,,,5.258913297987436,
